study_id,first_author,publication_year,doi,question_id,question_description,modality
id_010,bailey,2003,10.1017/S0952836903003728,q_013,is call length associated with reply latency in duets?,Only acoustic
id_012,boncoraglio,2007,10.1111/j.1365-2435.2006.01207.x,q_015,are song properties associated with habitat structure?,Only acoustic
id_020,de_jong,2012,10.1093/beheco/ars094,q_024,is frequency of courtship associated with competitor-to-resource ratio?,Visual and acoustic
id_025,dougherty,2021,10.1111/ele.13679,q_032,are sexual signalling and responsiviness to sexual signals context-dependent?,"Visual, acoustic, and others"
id_026,dougherty,2021,10.1038/s41559-021-01409-z,q_033,is sexual signalling associated with individual state?,"Visual, acoustic, and others"
id_026,dougherty,2021,10.1038/s41559-021-01409-z,q_034,is sexual signalling associated with individual state?,"Visual, acoustic, and others"
id_030,evans,2010,10.1111/j.1095-8312.2010.01548.x,q_037,is plumage colour expression associated with age?,Only visual
id_030,evans,2010,10.1111/j.1095-8312.2010.01548.x,q_038,is plumage colour expression associated with age?,Only visual
id_031,fiske,1998,10.1093/beheco/9.4.328,q_039,is display frequency and expression of ornaments and other traits associated with mating success for lekking individuals?,Visual and acoustic
id_031,fiske,1998,10.1093/beheco/9.4.328,q_040,is display frequency and expression of ornaments and other traits associated with mating success for lekking individuals?,Visual and acoustic
id_034,garamszegi,2004,10.1016/j.brainresrev.2003.12.001,q_043,is brain size associated with song traits?,Only acoustic
id_036,garamszegi,2005,10.1007/s00265-005-0041-8,q_044,are song traits associated with parasite prevalence/immunity function?,Only acoustic
id_036,garamszegi,2005,10.1007/s00265-005-0041-8,q_045,are song traits associated with parasite prevalence/immunity function?,Only acoustic
id_035,garamszegi,2004,10.1093/beheco/arh041,q_046,are song traits associated with extra-pair paternity?,Only acoustic
id_037,garamszegi,2007,10.1111/j.1439-0310.2007.01337.x,q_048,is song repertoire size associated with age?,Only acoustic
id_041,gontard-danek,1999,10.1093/beheco/10.5.476,q_053,are visual sexual signals associated with paternity?,Only visual
id_041,gontard-danek,1999,10.1093/beheco/10.5.476,q_054,are visual sexual signals associated with paternity?,Only visual
id_041,gontard-danek,1999,10.1093/beheco/10.5.476,q_055,are visual sexual signals associated with individual attractiveness?,Only visual
id_041,gontard-danek,1999,10.1093/beheco/10.5.476,q_056,are visual sexual signals associated with individual attractiveness?,Only visual
id_041,gontard-danek,1999,10.1093/beheco/10.5.476,q_057,are visual sexual signals associated with mating success?,Only visual
id_045,griffith,2006,10.1016/j.anbehav.2005.07.016,q_061,are ornaments (melanin- and carotenoid-based) associated with individual condition?,Only visual
id_046,guindre-parker,2014,10.1111/j.1600-048X.2013.00190.x,q_062,is plumage melanin associated with individual state?,Only visual
id_047,hamilton,1997,10.1163/156853997X00485,q_063,is sexual signal expression associated with parasite load?,Only visual
